Date,Open,High,Low,Close,Adj Close,Volume
2024-02-26,45.750000,45.750000,43.349998,43.750000,43.750000,30050547
2024-02-27,44.200001,45.000000,43.500000,44.549999,44.549999,22624252
2024-02-28,44.599998,44.650002,42.349998,43.200001,43.200001,36887600
2024-02-29,43.000000,45.349998,41.049999,45.250000,45.250000,117200579
2024-03-01,45.599998,46.000000,44.099998,44.299999,44.299999,22093410
2024-03-04,42.799999,43.799999,41.750000,42.799999,42.799999,55074786
2024-03-05,41.650002,41.650002,40.700001,40.700001,40.700001,53278004
2024-03-06,39.000000,39.000000,38.700001,38.700001,38.700001,29049668
2024-03-07,37.200001,40.599998,37.200001,40.599998,40.599998,58288425
2024-03-11,41.500000,42.000000,39.000000,39.349998,39.349998,39527748
2024-03-12,39.349998,40.000000,37.400002,39.299999,39.299999,47404379
2024-03-13,38.500000,39.299999,37.349998,37.349998,37.349998,38160910
2024-03-14,35.500000,39.200001,35.500000,39.049999,39.049999,67013191
2024-03-15,39.000000,40.000000,37.500000,39.400002,39.400002,144957453
2024-03-18,38.849998,38.900002,37.700001,38.549999,38.549999,22647157
2024-03-19,38.400002,38.400002,36.799999,37.150002,37.150002,20548501
2024-03-20,37.150002,37.700001,35.599998,36.299999,36.299999,26893468
2024-03-21,37.000000,38.099998,36.500000,37.299999,37.299999,54916534
2024-03-22,37.000000,37.950001,36.349998,37.349998,37.349998,17891396
2024-03-26,37.500000,37.650002,36.799999,37.099998,37.099998,25064700
2024-03-27,37.400002,38.950001,37.099998,38.500000,38.500000,92336818
2024-03-28,39.000000,40.400002,38.599998,40.400002,40.400002,44688873
2024-04-01,39.950001,41.750000,38.400002,41.349998,41.349998,32553386
2024-04-02,41.799999,43.000000,40.400002,42.500000,42.500000,31126883
2024-04-03,42.500000,43.549999,41.599998,43.500000,43.500000,28078702
2024-04-04,44.500000,44.599998,42.700001,42.950001,42.950001,30712841
2024-04-05,43.000000,43.000000,42.000000,42.650002,42.650002,15830518
2024-04-08,43.150002,43.150002,41.400002,41.500000,41.500000,20072402
2024-04-09,41.500000,42.500000,40.799999,40.900002,40.900002,20548936
2024-04-10,41.150002,42.650002,41.099998,42.150002,42.150002,28693252
2024-04-12,42.150002,42.750000,41.799999,42.150002,42.150002,37205677
2024-04-15,40.049999,41.200001,40.049999,40.750000,40.750000,37643079
2024-04-16,39.849998,41.250000,39.549999,40.500000,40.500000,20994202
2024-04-18,41.000000,41.700001,40.700001,41.150002,41.150002,23917024
